"country","sftgcode","iso3code","year","start.1","mean.p","harff.p","threat.p","rf.p"
"Argentina","ARG","ARG",1975,1,0.180024238207791,0.0114507226122771,0.00662199201109551,0.522
"Argentina","ARG","ARG",1976,0,0.0104158986693617,0.00570513250711022,0.017542563500975,0.008
"Argentina","ARG","ARG",1977,0,0.00753276612986886,0.00529847462666156,0.013299823762945,0.004
"Argentina","ARG","ARG",1978,0,0.00829234652441495,0.00589882466433724,0.0139782149089076,0.005
"Argentina","ARG","ARG",1979,0,0.00678003033506884,0.00618305136013403,0.0111570396450725,0.003
"Argentina","ARG","ARG",1980,0,0.00950894561993607,0.00646449748981255,0.0110623393699957,0.011
"Argentina","ARG","ARG",1981,0,0.00448538238632048,0.00571129751584284,0.00574484964311861,0.002
"Argentina","ARG","ARG",1982,0,0.00408027470693622,0.0052357603809736,0.00600506373983506,0.001
"Argentina","ARG","ARG",1983,0,0.011913447553481,0.0218497703478735,0.00389057231256959,0.01
"Argentina","ARG","ARG",1984,0,0.0118358505249645,0.0228063529150239,0.00370119865986966,0.009
"Argentina","ARG","ARG",1985,0,0.00874054947190941,0.0165965438955095,0.00362510452021868,0.006
"Argentina","ARG","ARG",1986,0,0.00931436212327343,0.0241166383587066,0.00282644801111371,0.001
"Argentina","ARG","ARG",1987,0,0.00857749932389602,0.0228013297305142,0.00293116824117389,0
"Argentina","ARG","ARG",1988,0,0.0101665371858148,0.0228362668785653,0.00566334467887897,0.002
"Argentina","ARG","ARG",1989,0,0.00962046967629319,0.0197931547813595,0.00606825424752008,0.003
"Argentina","ARG","ARG",1990,0,0.00697195597852909,0.0129494575140541,0.0059664104215332,0.002
"Argentina","ARG","ARG",1991,0,0.00578807775333885,0.0137705560646122,0.00259367719540432,0.001
"Argentina","ARG","ARG",1992,0,0.00518321263467223,0.0130113745295204,0.00253826337449624,0
"Argentina","ARG","ARG",1993,0,0.00490733063194424,0.0121341976821297,0.00258779421370298,0
"Argentina","ARG","ARG",1994,0,0.00520603079612363,0.0110949974216228,0.0025230949667481,0.002
"Argentina","ARG","ARG",1995,0,0.00403199358302939,0.0105014395458799,0.00159454120320832,0
"Argentina","ARG","ARG",1996,0,0.00408170227875743,0.00990356764332432,0.00134153919294798,0.001
"Argentina","ARG","ARG",1997,0,0.00365607325042948,0.00958810975249231,0.00138010999879613,0
"Argentina","ARG","ARG",1998,0,0.00357780011251173,0.00949143574201573,0.00124196459551946,0
"Argentina","ARG","ARG",1999,0,0.00393423122747041,0.0103592173663557,0.00144347631605555,0
"Argentina","ARG","ARG",2000,0,0.00404287259002907,0.00977617211906354,0.00135244565102366,0.001
"Argentina","ARG","ARG",2001,0,0.00385544996269016,0.0101414267259971,0.00142492316207335,0
"Argentina","ARG","ARG",2002,0,0.00328804971341396,0.00638041066627352,0.00148373847396837,0.002
"Argentina","ARG","ARG",2003,0,0.0029029227343282,0.00648681987638135,0.00122194832660325,0.001
"Argentina","ARG","ARG",2004,0,0.00231565521045434,0.00583345673252709,0.00111350889883593,0
"Argentina","ARG","ARG",2005,0,0.00218983580990049,0.00555250623640901,0.00101700119329248,0
"Argentina","ARG","ARG",2006,0,0.00225246515040286,0.0056989071679724,0.00105848828323618,0
"Argentina","ARG","ARG",2007,0,NA,0.00556207895230262,NA,NA
"Argentina","ARG","ARG",2008,0,NA,0.00550372339177477,NA,NA
"Argentina","ARG","ARG",2009,0,NA,0.00632706706212498,NA,NA
